candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
blank,water_district_commissioner,Blanks,pct_5,73,2384,3.062080536912752,333,21.92192192192192
blank,water_district_commissioner,Blanks,pct_6,70,2343,2.987622705932565,326,21.472392638036812
blank,water_district_commissioner,Blanks,pct_7,42,2038,2.060843964671246,189,22.22222222222222
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_1,114,1890,6.031746031746032,130,87.6923076923077
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_2,220,2346,9.377664109121909,292,75.34246575342466
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_3,405,2582,15.685515104570099,531,76.27118644067797
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_4,292,2383,12.253462022660512,387,75.45219638242894
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_5,259,2384,10.864093959731544,333,77.77777777777779
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_6,255,2343,10.88348271446863,326,78.22085889570552
"stephen,c.,stuntz",water_district_commissioner,Stephen,pct_7,147,2038,7.212953876349363,189,77.77777777777779
"write,in",water_district_commissioner,Write,pct_1,0,1890,0,130,0
"write,in",water_district_commissioner,Write,pct_2,2,2346,0.08525149190110827,292,0.684931506849315
"write,in",water_district_commissioner,Write,pct_3,3,2582,0.11618900077459333,531,0.5649717514124294
"write,in",water_district_commissioner,Write,pct_4,2,2383,0.0839278220730172,387,0.516795865633075
"write,in",water_district_commissioner,Write,pct_5,1,2384,0.04194630872483222,333,0.3003003003003003
"write,in",water_district_commissioner,Write,pct_6,1,2343,0.04268032437046522,326,0.3067484662576687
"write,in",water_district_commissioner,Write,pct_7,0,2038,0,189,0
