candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
blank,select_board,Blanks,1,35,1890,1.85185185185185,260,13.4615384615385,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
blank,select_board,Blanks,2,66,2346,2.81329923273657,584,11.3013698630137,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
blank,select_board,Blanks,3,125,2582,4.84120836560806,1062,11.7702448210923,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
blank,select_board,Blanks,4,89,2383,3.73478808224927,774,11.4987080103359,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
blank,select_board,Blanks,5,71,2384,2.97818791946309,666,10.6606606606607,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
blank,select_board,Blanks,6,76,2343,3.24370465215536,652,11.6564417177914,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
blank,select_board,Blanks,7,56,2038,2.74779195289499,378,14.8148148148148,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"james,snyder,grant",select_board,James,1,87,1890,4.6031746031746,260,33.4615384615385,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"james,snyder,grant",select_board,James,2,189,2346,8.05626598465473,584,32.3630136986301,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"james,snyder,grant",select_board,James,3,354,2582,13.710302091402,1062,33.3333333333333,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"james,snyder,grant",select_board,James,4,246,2383,10.3231221149811,774,31.7829457364341,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"james,snyder,grant",select_board,James,5,199,2384,8.34731543624161,666,29.8798798798799,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"james,snyder,grant",select_board,James,6,185,2343,7.89586000853607,652,28.3742331288344,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"james,snyder,grant",select_board,James,7,118,2038,5.78999018645731,378,31.2169312169312,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"alissa,nicol",select_board,Alissa,1,74,1890,3.91534391534392,260,28.4615384615385,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
