candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_1,2493,2493,100,2493,100
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_2,2293,2293,100,2293,100
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_3,2503,2503,100,2503,100
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_4,2270,2270,100,2270,100
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_5,2272,2272,100,2272,100
"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040,pct_6,2209,2209,100,2209,100
blanks,president_vice_president,pct_1,5,2493,0.20056157240272765,1994,0.25075225677031093
blanks,president_vice_president,pct_2,8,2293,0.3488879197557785,1890,0.4232804232804233
blanks,president_vice_president,pct_3,4,2503,0.15980823012385137,2130,0.18779342723004694
blanks,president_vice_president,pct_4,7,2270,0.30837004405286345,1918,0.36496350364963503
blanks,president_vice_president,pct_5,4,2272,0.17605633802816903,1885,0.21220159151193632
blanks,president_vice_president,pct_6,6,2209,0.2716161158895428,1818,0.33003300330033003
baldwin,president_vice_president,pct_1,3,2493,0.12033694344163659,1994,0.15045135406218654
baldwin,president_vice_president,pct_2,0,2293,0,1890,0
baldwin,president_vice_president,pct_3,3,2503,0.11985617259288853,2130,0.14084507042253522
baldwin,president_vice_president,pct_4,0,2270,0,1918,0
baldwin,president_vice_president,pct_5,1,2272,0.04401408450704226,1885,0.05305039787798408
baldwin,president_vice_president,pct_6,0,2209,0,1818,0
barr,president_vice_president,pct_1,13,2493,0.5214600882470918,1994,0.6519558676028084
barr,president_vice_president,pct_2,7,2293,0.30527692978630616,1890,0.3703703703703704
barr,president_vice_president,pct_3,13,2503,0.519376747902517,2130,0.6103286384976526
barr,president_vice_president,pct_4,11,2270,0.4845814977973568,1918,0.5735140771637122
barr,president_vice_president,pct_5,11,2272,0.48415492957746475,1885,0.583554376657825
barr,president_vice_president,pct_6,16,2209,0.724309642372114,1818,0.88008800880088
mccain,president_vice_president,pct_1,592,2493,23.746490172482954,1994,29.689067201604814
mccain,president_vice_president,pct_2,593,2293,25.861317051897075,1890,31.375661375661373
mccain,president_vice_president,pct_3,666,2503,26.60807031562126,2130,31.26760563380282
mccain,president_vice_president,pct_4,527,2270,23.215859030837006,1918,27.476538060479665
mccain,president_vice_president,pct_5,484,2272,21.30281690140845,1885,25.676392572944295
mccain,president_vice_president,pct_6,615,2209,27.840651878678134,1818,33.82838283828383
mckinney,president_vice_president,pct_1,4,2493,0.1604492579221821,1994,0.20060180541624875
mckinney,president_vice_president,pct_2,3,2293,0.13083296990841692,1890,0.15873015873015872
mckinney,president_vice_president,pct_3,2,2503,0.07990411506192568,2130,0.09389671361502347
mckinney,president_vice_president,pct_4,4,2270,0.1762114537444934,1918,0.20855057351407716
mckinney,president_vice_president,pct_5,4,2272,0.17605633802816903,1885,0.21220159151193632
mckinney,president_vice_president,pct_6,1,2209,0.04526935264825713,1818,0.055005500550055
nader,president_vice_president,pct_1,15,2493,0.601684717208183,1994,0.7522567703109327
nader,president_vice_president,pct_2,10,2293,0.436109899694723,1890,0.5291005291005291
nader,president_vice_president,pct_3,10,2503,0.3995205753096284,2130,0.4694835680751174
nader,president_vice_president,pct_4,18,2270,0.7929515418502203,1918,0.9384775808133473
nader,president_vice_president,pct_5,15,2272,0.6602112676056338,1885,0.7957559681697612
nader,president_vice_president,pct_6,11,2209,0.49796287913082843,1818,0.605060506050605
obama,president_vice_president,pct_1,1351,2493,54.19173686321701,1994,67.75325977933801
