candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6a,390,740,52.702702702702695,479,81.41962421711901
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_7,0,2074,0,55,0
blanks,district_attorney,pct_1,209,1930,10.82901554404145,1072,19.496268656716417
blanks,district_attorney,pct_2,333,2317,14.372032801035822,1572,21.183206106870227
blanks,district_attorney,pct_3,378,2581,14.645486245641223,1783,21.200224340998318
blanks,district_attorney,pct_4,308,2368,13.006756756756758,1581,19.481340923466163
blanks,district_attorney,pct_5,308,2399,12.838682784493539,1571,19.6053469127944
blanks,district_attorney,pct_6,222,1602,13.857677902621724,1090,20.36697247706422
blanks,district_attorney,pct_6a,80,740,10.81081081081081,467,17.130620985010705
blanks,district_attorney,pct_7,272,2074,13.114754098360656,1224,22.22222222222222
marian,district_attorney,pct_1,859,1930,44.50777202072539,1072,80.13059701492537
marian,district_attorney,pct_2,1233,2317,53.21536469572723,1572,78.43511450381679
marian,district_attorney,pct_3,1395,2581,54.04881828748547,1783,78.23892316320807
marian,district_attorney,pct_4,1267,2368,53.505067567567565,1581,80.13915243516762
marian,district_attorney,pct_5,1257,2399,52.39683201333889,1571,80.01273074474857
marian,district_attorney,pct_6,861,1602,53.745318352059925,1090,78.9908256880734
marian,district_attorney,pct_6a,385,740,52.02702702702703,467,82.44111349036403
marian,district_attorney,pct_7,952,2074,45.90163934426229,1224,77.77777777777779
scattered,district_attorney,pct_1,4,1930,0.20725388601036268,1072,0.3731343283582089
scattered,district_attorney,pct_2,6,2317,0.2589555459646094,1572,0.38167938931297707
scattered,district_attorney,pct_3,10,2581,0.38744672607516467,1783,0.5608524957936063
scattered,district_attorney,pct_4,6,2368,0.2533783783783784,1581,0.3795066413662239
scattered,district_attorney,pct_5,6,2399,0.25010421008753647,1571,0.3819223424570337
scattered,district_attorney,pct_6,7,1602,0.4369538077403246,1090,0.6422018348623854
scattered,district_attorney,pct_6a,2,740,0.2702702702702703,467,0.4282655246252677
scattered,district_attorney,pct_7,0,2074,0,1224,0
blanks,sheriff,pct_1,208,1930,10.777202072538861,1072,19.402985074626866
blanks,sheriff,pct_2,339,2317,14.630988347000432,1572,21.564885496183205
blanks,sheriff,pct_3,391,2581,15.149166989538939,1783,21.929332585530005
blanks,sheriff,pct_4,316,2368,13.344594594594595,1581,19.987349778621123
blanks,sheriff,pct_5,318,2399,13.255523134639432,1571,20.241884150222788
blanks,sheriff,pct_6,237,1602,14.794007490636703,1090,21.743119266055047
blanks,sheriff,pct_6a,82,740,11.081081081081082,467,17.558886509635975
blanks,sheriff,pct_7,277,2074,13.355834136933462,1224,22.630718954248366
peter,sheriff,pct_1,860,1930,44.559585492227974,1072,80.22388059701493
peter,sheriff,pct_2,1228,2317,52.99956840742339,1572,78.11704834605598
peter,sheriff,pct_3,1382,2581,53.545137543587764,1783,77.50981491867638
peter,sheriff,pct_4,1257,2368,53.082770270270274,1581,79.5066413662239
peter,sheriff,pct_5,1246,2399,51.93830762817841,1571,79.31253978357734
peter,sheriff,pct_6,848,1602,52.9338327091136,1090,77.79816513761469
peter,sheriff,pct_6a,383,740,51.75675675675676,467,82.01284796573876
peter,sheriff,pct_7,947,2074,45.66055930568949,1224,77.36928104575163
scattered,sheriff,pct_1,4,1930,0.20725388601036268,1072,0.3731343283582089
scattered,sheriff,pct_2,5,2317,0.21579628830384118,1572,0.3180661577608142
scattered,sheriff,pct_3,10,2581,0.38744672607516467,1783,0.5608524957936063
scattered,sheriff,pct_4,8,2368,0.33783783783783783,1581,0.5060088551549652
scattered,sheriff,pct_5,7,2399,0.29178824510212586,1571,0.4455760661998727
scattered,sheriff,pct_6,5,1602,0.3121098626716604,1090,0.45871559633027525
scattered,sheriff,pct_6a,2,740,0.2702702702702703,467,0.4282655246252677
scattered,sheriff,pct_7,0,2074,0,1224,0
blanks,question_one,pct_1,16,1930,0.8290155440414507,1072,1.4925373134328357
blanks,question_one,pct_2,26,2317,1.122140699179974,1572,1.653944020356234
blanks,question_one,pct_3,19,2581,0.7361487795428129,1783,1.065619742007852
blanks,question_one,pct_4,21,2368,0.8868243243243243,1581,1.3282732447817838
blanks,question_one,pct_5,21,2399,0.8753647353063776,1571,1.336728198599618
blanks,question_one,pct_6,15,1602,0.9363295880149813,1090,1.3761467889908259
blanks,question_one,pct_6a,5,740,0.6756756756756757,467,1.070663811563169
blanks,question_one,pct_7,19,2074,0.9161041465766635,1224,1.5522875816993464
yes,question_one,pct_1,667,1930,34.55958549222798,1072,62.220149253731336
yes,question_one,pct_2,795,2317,34.311609840310744,1572,50.57251908396947
yes,question_one,pct_3,1127,2581,43.665246028671056,1783,63.208076275939426
yes,question_one,pct_4,986,2368,41.638513513513516,1581,62.365591397849464
yes,question_one,pct_5,964,2399,40.18340975406419,1571,61.362189688096755
yes,question_one,pct_6,626,1602,39.076154806491886,1090,57.43119266055046
yes,question_one,pct_6a,295,740,39.86486486486486,467,63.16916488222698
yes,question_one,pct_7,681,2074,32.8351012536162,1224,55.63725490196079
no,question_one,pct_1,389,1930,20.155440414507773,1072,36.28731343283582
no,question_one,pct_2,751,2317,32.41260250323694,1572,47.773536895674305
no,question_one,pct_3,637,2581,24.68035645098799,1783,35.72630398205272
no,question_one,pct_4,574,2368,24.239864864864867,1581,36.30613535736875
no,question_one,pct_5,586,2399,24.426844518549395,1571,37.30108211330363
no,question_one,pct_6,449,1602,28.02746566791511,1090,41.19266055045871
no,question_one,pct_6a,167,740,22.56756756756757,467,35.76017130620985
no,question_one,pct_7,524,2074,25.265188042430086,1224,42.810457516339866
blanks,question_two,pct_1,20,1930,1.0362694300518136,1072,1.8656716417910446
blanks,question_two,pct_2,33,2317,1.4242555028053518,1572,2.099236641221374
blanks,question_two,pct_3,29,2581,1.1235955056179776,1783,1.6264722378014584
blanks,question_two,pct_4,55,2368,2.322635135135135,1581,3.478810879190386
blanks,question_two,pct_5,34,2399,1.41725719049604,1571,2.1642266072565244
blanks,question_two,pct_6,28,1602,1.7478152309612984,1090,2.5688073394495414
blanks,question_two,pct_6a,16,740,2.1621621621621623,467,3.4261241970021414
blanks,question_two,pct_7,31,2074,1.4946962391513983,1224,2.5326797385620914
yes,question_two,pct_1,821,1930,42.53886010362694,1072,76.58582089552239
yes,question_two,pct_2,1167,2317,50.36685369011653,1572,74.23664122137404
yes,question_two,pct_3,1354,2581,52.4602867105773,1783,75.9394279304543
yes,question_two,pct_4,1225,2368,51.73141891891891,1581,77.48260594560405
yes,question_two,pct_5,1233,2399,51.39641517298874,1571,78.48504137492043
yes,question_two,pct_6,854,1602,53.308364544319595,1090,78.34862385321101
yes,question_two,pct_6a,366,740,49.45945945945946,467,78.37259100642399
yes,question_two,pct_7,932,2074,44.93731918997107,1224,76.1437908496732
no,question_two,pct_1,231,1930,11.968911917098445,1072,21.548507462686565
no,question_two,pct_2,372,2317,16.055243849805784,1572,23.66412213740458
no,question_two,pct_3,400,2581,15.497869043006588,1783,22.434099831744252
no,question_two,pct_4,301,2368,12.71114864864865,1581,19.038583175205567
no,question_two,pct_5,304,2399,12.671946644435181,1571,19.35073201782304
